Company,Country,Headquarters,Est.,Notes
Hammer Film Productions,United Kingdom,London,1934,See List of Hammer films.
Heyday Films,United Kingdom,London,1997,
Intermedia,United Kingdom,London,1995,Previously used as German tax shelter.
ITC Entertainment Productions,United Kingdom,London,1958,Defunct 1998. Back catalog owned by many different firms.
Magma Pictures,United Kingdom,London,2004,
Marv Films,United Kingdom,London,2004,
Merton Park Studios,United Kingdom,London,1930,Last film was in 1967.
MGM-British Studios,United Kingdom,"Denham, Buckinghamshire and Borehamwood, Hertfordshire",1936,Subsidiary of Metro-Goldwyn-Mayer. Defunct 1973.
Pinewood Studios,United Kingdom,"Iver, Buckinghamshire",1935,See List of Pinewood Studios productions.
PolyGram Filmed Entertainment,United Kingdom,London,1979,Acquired by Universal Studios in 2000.
Rank Organisation Film Productions,United Kingdom,London,1937,Defunct in 1996.
Shepperton Studios,United Kingdom,"Shepperton, Surrey",1931,Part of Pinewood Studios as of 2001.
Syncopy Inc.,United Kingdom,London,2001,Founded by Christopher Nolan and Emma Thomas.
Teddington Studios,United Kingdom,London,1910,Part of Pinewood Studios until 2014.
Three Mills Studios,United Kingdom,London,1990,
Twickenham Film Studios,United Kingdom,London,1913,
Vertigo Films,United Kingdom,London,2002,
Warp Films,United Kingdom,London,1999,Sister company to Warp Records.
Working Title Films,United Kingdom,London,1983,Owned by NBCUniversal
40 Acres and a Mule Filmworks,United States,"New York City, New York",1986,Founded by Spike Lee.
606 Films,United States,"Los Angeles, California",2014,Founded by Halle Berry. Housed at CBS Television Studios.
2929 Productions,United States,"Dallas, Texas",2003,Founded by Mark Cuban and Todd Wagner.
Affirm Films,United States,"Culver City, California",2007,Acquired by Sony Pictures Entertainment; Christian films
Allied Artists Pictures Corporation,United States,"Los Angeles, California",1931,Previously Monogram Pictures.
Amazon MGM Studios,United States,"Culver City, California",2010,Founded by Amazon (company)
Amblin Entertainment,United States,"Universal City, California",1981,"Founded by Steven Spielberg, Kathleen Kennedy and Frank Marshall."
Amblin Partners,United States,"Universal City, California",2015,"Founded by Steven Spielberg, Jeff Skoll, Darren Throop And Anil Ambani"
American International Pictures,United States,"Los Angeles, California",1956,Acquired by Filmways.
American Zoetrope,United States,"San Francisco, California",1969,Founded by Francis Ford Coppola and George Lucas.
Apple Studios,United States,"Cupertino, California",2019,Founded by Apple Inc.
Artisan Entertainment,United States,"New York City, New York",1982,Started as LIVE Entertainment and acquired by Lions Gate in 2004.
Batjac Productions,United States,"Los Angeles, California",1952,Founded by John Wayne and Robert Fellows.
Blinding Edge Pictures,United States,"Berwyn, Pennsylvania",2000,Founded by M. Night Shyamalan.
Blue Sky Studios,United States,"Greenwich, Connecticut",1987,Acquired by 20th Century Studios; defunct in 2021.
Called Higher Studios,United States,"Franklin, Tennessee",2019,
Capitol Films,United States,"Los Angeles, California",1992,
Caravan Pictures,United States,"Santa Monica, California",1992,Owned by The Walt Disney Company; defunct in 1999.
Carolco Pictures,United States,"Boca Raton, Florida",1976,Bankrupt in 1995. Brand revived in 2015.
Castle Rock Entertainment,United States,"Beverly Hills, California",1987,Acquired by Time Warner
CBS Films,United States,"Los Angeles, California",2007,CBS made a brief move into film production in the late 1960s and CBS Theatrical Films in 1979 (Founded as Cinema Center Films)
Cedar Grove Productions,United States,"Los Angeles, California",1996,
Christie Film Company,United States,"Hollywood, California",1916,Founded by Al Christie and Charles Christie. Defunct 1933.
Cinemation Industries,United States,"New York City, New York",1965,Defunct 1975
Cinergi Pictures,United States,"Santa Monica, California",1989,Defunct 1998
Columbia Pictures,United States,"Culver City, California",1924,Acquired by Sony Pictures Entertainment
Compass International Pictures,United States,Unknown,1977,Defunct 1988
Davis Entertainment,United States,Unknown,1984,Founded by John Davis.
Destination Films,United States,"Santa Monica, California",1993,Subsidiary
Dimension Films,United States,"New York City, New York",1992,Originally a Miramax Films division
DreamWorks,United States,"Universal City, California",1994,Part of Amblin Partners
DreamWorks Animation,United States,"Glendale, California",2004,Currently distributed by Universal Pictures
E1 Entertainment,United States,"Port Washington, New York",1987,Founded as Koch Entertainment
Edison's Black Maria,United States,"West Orange, New Jersey",1893,World's first film production studio. Defunct 1901.
Electric Entertainment,United States,"Los Angeles, California",2001,
Elevating Entertainment Motion Pictures,United States,"Nashville, Tennessee",2007,Family-friendly projects
Embassy Pictures,United States,"New York City, New York",1942,Defunct 1986
Esperanto Filmoj,United States,"Los Angeles, California",2004,
Essanay Studios,United States,"Chicago, Illinois",1907,Defunct 1918
Famous Players Film Company,United States,,1912,
Famous Players–Lasky,United States,,1914,
Film Booking Offices of America,United States,,1919,
Filmways,United States,"Sonoma County, California",1958,Acquired by Orion Pictures
Filmology Finance,United States,"Los Angeles, California",2013,Founded by Jack Christian
Fine Line Features,United States,"New York City, New York",1990,Originally a division of New Line Cinema
First Look Studios,United States,"Century City, California",1993,
First National,United States,,1917,
Five & Two Pictures,United States,,2002,Christian films
Flavor Unit Entertainment,United States,"Miami, Florida",1995,"Privately held, originally headquartered in Jersey City, New Jersey"
Focus Features,United States,"Universal City, California",1992,"Started as Gramercy Pictures and acquired by Universal Studios, then renamed USA Films"
Four Star Productions,United States,,1952,
Fox Atomic,United States,"Century City, California",2006,Defunct
Fox Film Corporation,United States,,1915,Merged with 20th Century Pictures to form 20th Century Fox
20th Century Pictures,United States,,1933,Merged with Fox Film Corporation to form 20th Century Fox
Fox Searchlight Pictures,United States,"Century City, California",1994,
Gener8Xion Entertainment,United States,"Hollywood, California",1995,Christian films
Gnome Motion Picture Company,United States,"New York City, New York",1910,"Likely never released any productions, presumed defunct in 1911."
Golan-Globus,United States,,1967,
Goldwyn Pictures,United States,,1916,
Samuel Goldwyn Productions,United States,,1923,
Hallmark Productions,United States,,1944,
Hannover House,United States,"Springdale, Arkansas",1993,
Happy Madison Productions,United States,,1999,
Heritage Film Project,United States,"Charlottesville, Virginia",2008,
Hollywood Pictures,United States,"Burbank, California",1989,"Defunct in 2007, was a part of The Walt Disney Studios"
IFC Films,United States,"New York City, New York",1999,Owned by Rainbow Media
Image Entertainment,United States,"Los Angeles, California",1981,
Interscope Pictures,United States,,1982,
Kalem Company,United States,,1907,
Kendrick Brothers,United States,"Albany, Georgia",2013,Christian films
Keystone Studios,United States,,1912,
Legendary Pictures,United States,,2000,
Liberty Films,United States,,1945,
Lightstorm Entertainment,United States,,1990,
Lightyear Entertainment,United States,,1987,
Limelight Department,Australia,,1898,
Lions Gate Entertainment,United States,"Santa Monica, California",1995,
Lubin Studios,United States,,1896,
Lucasfilm,United States,,1971,Since October 2012 a part of The Walt Disney Studios
Magnolia Pictures,United States,"New York City, New York",2001,
Marvel Studios,United States,"Manhattan Beach, California",2007,Part of Walt Disney Studios
Mascot Pictures Corporation,United States,,1927,
Mercury Radio Arts,United States,"Las Colinas, Irving, Texas",2002,"Owned by Glenn Beck, and owns TheBlaze"
Metro Pictures,United States,,1915,Merged with Goldwyn Pictures and Louis B. Mayer Pictures to form Metro-Goldwyn-Mayer
Metro-Goldwyn-Mayer,United States,"Century City, California",1924,"Owned by Highland Capital, Anchorage Capital Group LLC, Third Point LLC and Solus Alternative Asset Management LP"
Miramax Films,United States,"New York City, New York",1979,Division of Walt Disney Studios from 1993 to 2010; owned by Filmyard Holdings from 2010–present
Mutual Film,United States,,1912,Defunct since 1918
Newmarket Films,United States,"Los Angeles, California",1989,
Nestor Studios,United States,,1909,
New Line Cinema,United States,"New York City, New York",1967,Acquired by Warner Bros. Discovery
"Netflix, Inc.",United States,"Los Gatos, California",1997,Founded by Reed Hastings and Marc Randolph
Original Film,United States,,1997,
